Northing,Easthing,Elevation
3663368,372072,1363
3644418,360972,1574
3651968,414322,942
3629118,364772,1128
3634118,366272,1057
3656018,387472,1086
3661968,400422,990
3627718,395072,1146
3659818,414172,884
3627318,414272,1221
3643118,380322,1065
3660768,395372,1056
3623618,405872,1236
3625968,363022,1180
3634918,370822,1067
3653968,405572,883
3645318,397072,934
3627518,374422,1137
3659668,409522,892
3632718,395622,1121
3639018,383622,1006
3641368,370172,1222
3650918,368022,1645
3664368,372872,1330
3655568,404172,907
3619618,395822,1270
3655818,404872,900
3659218,372522,1459
3631118,407022,1138
3645418,414022,1007
3628218,398522,1131
3643268,407622,1008
3636418,404772,1072
3651768,400622,915
3662318,387622,1089
3619518,395322,1316
3643418,392072,961
3636068,407172,1076
3648118,369872,1312
3622768,417422,1300
3624268,403372,1219
3659968,373122,1492
3651068,379672,1204
3628018,416822,1208
3632918,399122,1101
3631018,413572,1165
3665618,389972,1188
3658468,406922,913
3640218,417572,1055
3659018,360872,1630
3634018,416872,1128
3651918,383722,1154
3631318,378022,1081
3652118,393972,1018
3663968,405772,943
3661818,378622,1282
3623168,381572,1236
3631268,381772,1076
3636718,416022,1111
3640868,380422,1024
3628368,373272,1124
3656218,378422,1283
3662318,416472,875
3656068,407822,870
3636868,372622,1094
3649368,367622,1526
3629768,415022,1182
3656318,398372,958
3643418,384522,1041
3649468,403072,922
3665318,363372,1526
3630268,403572,1155
3655918,365072,1598
3634868,403572,1091
3653418,405522,878
3644518,377622,1091
3657768,403672,938
