,depth,badhole,vsh,comp_ephi,sw,sand,res,pay
1047,5123.5,0,0.09341714285714285,0.06699328900432892,0.9337334566663057,1,0,0
1048,5124.0,0,0.1012157142857143,0.06446294168831168,0.9384139595243512,1,0,0
1049,5124.5,0,0.13099142857142856,0.06569163125541125,0.9689296541566216,1,0,0
1050,5125.0,0,0.156525,0.06852210833333335,1.0,0,0,0
1051,5125.5,0,0.16503285714285712,0.07708414584415582,0.9343717437122644,0,0,0
1052,5126.0,0,0.15439857142857144,0.08031146480519476,0.860913849574947,0,0,0
1053,5126.5,0,0.15080928571428573,0.07702845452380946,0.8392006983372384,0,0,0
1054,5127.0,0,0.16999785714285714,0.06746720326839827,0.8922293694094979,0,0,0
1055,5127.5,0,0.19367785714285712,0.06125729538961033,0.9546841015024677,0,0,0
1056,5128.0,0,0.23249285714285714,0.05920373311688308,1.0,0,0,0
1057,5128.5,0,0.28072285714285716,0.06207999645021643,1.0,0,0,0
1058,5129.0,0,0.31688571428571427,0.06888218441558444,1.0,0,0,0
1059,5129.5,0,0.28941428571428574,0.07892960043290037,0.8785532878860378,0,0,0
1060,5130.0,0,0.24468214285714285,0.08044631309523806,0.8286916459433572,0,0,0
1061,5130.5,0,0.2075257142857143,0.07474787896103899,0.8664156189937834,0,0,0
1062,5131.0,0,0.26715214285714284,0.05835617400432897,1.0,0,0,0
1063,5131.5,0,0.42595785714285717,0.032359987510822495,1.0,0,0,0
1064,5132.0,0,0.637935,0.01517720621212118,1.0,0,0,0
1065,5132.5,0,0.7209192857142858,0.025610706948051926,1.0,0,0,0
1066,5133.0,0,0.6344264285714285,0.051505095043289956,0.8491739161136076,0,0,0
